\COMMENT=FITSWriter: database:WSERV1v20100706
\SYMBOL={} cross 5
\ FITSWriter: database:WSERV1v20100706
\ 22/07/10 00:15
\ SQL Query
\ select SourceID,meanMjdObs,s.ra,s.dec,jmhPnt,jmhPntErr,hmkPnt,
\ hmkPntErr,jAperMag3, JApermag3Err,hAperMag3,HAperMag3Err,kAperMag3,
\ KAperMag3Err,jppErrBits,hppErrBits,kppErrBits, MergedClass,pStar from
\ wserv1SourceXSynopticSourceBestMatch as b, wserv1SynopticMergeLog as
\ l,wserv1SynopticSource as s where b.synFrameSetID=s.synFrameSetID and
\ b.synSeqNum=s.synSeqNum and b.synFrameSetID=l.synFrameSetID and
\ JAperMag3Err < 1 and HAperMag3Err < 1 and KAperMag3Err < 1 and
\ JAperMag3 > 5 and JAperMag3 < 20 and HAperMag3 > 5 and HAperMag3 < 20
\ and KAperMag3 > 5 and KAperMag3 < 20 and s.ra < 315.1075 order by
\ meanMjdObs
|              SOURCEID|               MEANMJDOBS|                       RA|                      DEC|          JMHPNT|       JMHPNTERR|          HMKPNT|       HMKPNTERR|       JAPERMAG3|    JAPERMAG3ERR|       HAPERMAG3|    HAPERMAG3ERR|       KAPERMAG3|    KAPERMAG3ERR|  JPPERRBITS|  HPPERRBITS|  KPPERRBITS|MERGEDCLASS|           PSTAR|
|                   int|                   double|                   double|                   double|           float|           float|           float|           float|           float|           float|           float|           float|           float|           float|         int|         int|         int|        int|           float|
|                      |                         |                  RADIANS|                  RADIANS|                |                |                |                |                |                |                |                |                |                |            |            |            |           |                |
         44027710046652   5.47662068033000032e+04   5.49899221867182408e+00   9.15246228926842931e-01   1.10526657e+00   2.54791393e-03   7.78288841e-01   1.60491944e-03   1.28416166e+01   2.25457479e-03   1.17363501e+01   1.18691125e-03   1.09580612e+01   1.08028157e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47701979332999981e+04   5.49899218872831685e+00   9.15246366184946036e-01   1.09712982e+00   2.21723993e-03   8.15638542e-01   1.52767322e-03   1.28823013e+01   1.92997162e-03   1.17851715e+01   1.09149562e-03   1.09695330e+01   1.06884178e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47712427899999966e+04   5.49899209819083712e+00   9.15246339974017054e-01   1.12002468e+00   2.43388838e-03   8.24883461e-01   1.53085624e-03   1.30684872e+01   2.15006340e-03   1.19484625e+01   1.14063162e-03   1.11235790e+01   1.02101930e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47722387633000035e+04   5.49899214795609215e+00   9.15246320541329150e-01   1.22201061e+00   2.89859879e-03   9.01173592e-01   1.70961616e-03   1.34712391e+01   2.59555574e-03   1.22492285e+01   1.29033532e-03   1.13480549e+01   1.12152670e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47732458400000032e+04   5.49899215765360427e+00   9.15246313343415663e-01   1.32572746e+00   3.79791786e-03   1.07046318e+00   2.07471941e-03   1.38042068e+01   3.41451191e-03   1.24784794e+01   1.66291581e-03   1.14080162e+01   1.24063354e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47742361732999998e+04   5.49899218162327585e+00   9.15246418719961818e-01   1.15734863e+00   3.10566858e-03   8.50051880e-01   1.76364894e-03   1.31233778e+01   2.81596836e-03   1.19660292e+01   1.30977097e-03   1.11159773e+01   1.18108327e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47752499667000011e+04   5.49899203131781000e+00   9.15246313334040384e-01   1.08313560e+00   3.03548248e-03   7.39312172e-01   2.33078632e-03   1.28084440e+01   2.52003362e-03   1.17253084e+01   1.69221300e-03   1.09859962e+01   1.60280382e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47752632400000002e+04   5.49899218691101765e+00   9.15246211342162996e-01   1.09541035e+00   3.43009923e-03   7.59765625e-01   1.61697925e-03   1.28190718e+01   3.21284914e-03   1.17236614e+01   1.20132440e-03   1.09638958e+01   1.08233152e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47761879766999991e+04   5.49899221678263128e+00   9.15246293743679495e-01   1.01845646e+00   2.04766588e-03   7.57341385e-01   1.34253164e-03   1.26224899e+01   1.79526955e-03   1.16040335e+01   9.84856510e-04   1.08466921e+01   9.12386284e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47771828800000003e+04   5.49899218423718672e+00   9.15246316871010213e-01   9.83788490e-01   2.19638995e-03   7.55341530e-01   1.43007515e-03   1.26316843e+01   1.92617951e-03   1.16478958e+01   1.05544366e-03   1.08925543e+01   9.64962936e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47781813699999984e+04   5.49899215217621595e+00   9.15246229624058549e-01   1.06313801e+00   2.76966114e-03   8.20310593e-01   1.73411961e-03   1.29214764e+01   2.45466549e-03   1.18583384e+01   1.28282525e-03   1.10380278e+01   1.16684625e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47791852866999980e+04   5.49899227610305097e+00   9.15246263562244255e-01   1.08834839e+00   2.72725895e-03   7.38923073e-01   1.61858683e-03   1.28829451e+01   2.45658401e-03   1.17945967e+01   1.18454034e-03   1.10556736e+01   1.10303564e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47801871432999978e+04   5.49899212511458391e+00   9.15246348809026444e-01   1.10516644e+00   2.45654606e-03   7.50729561e-01   1.52789208e-03   1.30464182e+01   2.18742201e-03   1.19412518e+01   1.11794600e-03   1.11905222e+01   1.04146579e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47811848432999977e+04   5.49899218102926923e+00   9.15246323995676070e-01   1.33794689e+00   4.41168109e-03   1.07290363e+00   2.43503903e-03   1.41566715e+01   4.00133664e-03   1.28187246e+01   1.85801950e-03   1.17458210e+01   1.57390558e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47821893800000034e+04   5.49899229473650841e+00   9.15246375886891950e-01   1.24166298e+00   3.85241769e-03   9.88800049e-01   2.09929748e-03   1.37283249e+01   3.46653303e-03   1.24866619e+01   1.68055645e-03   1.14978619e+01   1.25808595e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47832679799999969e+04   5.49899229615367346e+00   9.15246418679343865e-01   1.17595577e+00   3.05572781e-03   8.92793655e-01   1.87450240e-03   1.32513590e+01   2.70030252e-03   1.20754032e+01   1.43032824e-03   1.11826096e+01   1.21157768e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47842616532999964e+04   5.49899211610231564e+00   9.15246353159512416e-01   1.08399010e+00   2.50022626e-03   7.98003197e-01   1.52939803e-03   1.28373518e+01   2.22879788e-03   1.17533617e+01   1.13295682e-03   1.09553585e+01   1.02735928e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47852542899999971e+04   5.49899221215305456e+00   9.15246308983088341e-01   1.02887344e+00   2.55786534e-03   8.11183929e-01   1.63821504e-03   1.26766701e+01   2.22428865e-03   1.16477966e+01   1.26301846e-03   1.08366127e+01   1.04332773e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47862588366999989e+04   5.49899218964266900e+00   9.15246342706536598e-01   1.01949883e+00   1.86757895e-03   7.63841629e-01   1.25505438e-03   1.25027647e+01   1.63403898e-03   1.14832659e+01   9.04305023e-04   1.07194242e+01   8.70283751e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47901824666999964e+04   5.49899211206548610e+00   9.15246289185398298e-01   1.09766006e+00   2.99581722e-03   8.21206093e-01   1.79981592e-03   1.32161226e+01   2.65429122e-03   1.21184626e+01   1.38912140e-03   1.12972565e+01   1.14441209e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47941956732999970e+04   5.49899214364832734e+00   9.15246519261021851e-01   1.11528778e+00   2.38436460e-03   8.09285164e-01   1.44412939e-03   1.27734499e+01   2.13196315e-03   1.16581621e+01   1.06767390e-03   1.08488770e+01   9.72410431e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47951855367000026e+04   5.49899223650501856e+00   9.15246268996402823e-01   1.06778145e+00   1.94204890e-03   8.20922852e-01   1.20895973e-03   1.25038071e+01   1.71672611e-03   1.14360256e+01   9.07967624e-04   1.06151028e+01   7.98234483e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47961827733000027e+04   5.49899205288641024e+00   9.15246380596701603e-01   1.11097717e+00   2.14118790e-03   8.56132507e-01   1.37428509e-03   1.27485113e+01   1.87821360e-03   1.16375341e+01   1.02810480e-03   1.07814016e+01   9.11953917e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47971975632999965e+04   5.49899220959811075e+00   9.15246250780583970e-01   1.08039474e+00   2.35964754e-03   8.07121277e-01   1.49324606e-03   1.28065462e+01   2.11060885e-03   1.17261515e+01   1.05511444e-03   1.09190302e+01   1.05665391e-03            0            0            0          -1   9.99657214e-01 
